fragment_id,particle_size_um,Cd_total_mg_kg,mean_CMI,background_mean_CMI,median_CMI,background_median_CMI,log2FC_CMI,p_value,n_group_sample,n_background_sample,P_mobilization_or_higher,P_aging_amplified,rank,q_value_raw,q_value,minus_log10_q,volcano_class,point_label
PET_COOH,25,0.3,0.020134553297885143,0.010359968940739685,0.0152497868654948,0.0052471642218851,0.9586537198025751,4.382105643596862e-125,2500,2500,0.0016,0.0,73,1.0084845864716068e-124,9.438398978878455e-125,124.02510166816037,not strongly differentiated,PET_COOH | 25 µm | Cd 0.3
PET_COOH,25,0.6,0.04268806183834527,0.0219645794094714,0.0323316755581661,0.0111247201497791,0.9586537555199881,4.382107372593169e-125,2500,2500,0.0892,0.0,74,9.948568089130436e-125,9.438398978878455e-125,124.02510166816037,not strongly differentiated,PET_COOH | 25 µm | Cd 0.6
PET_COOH,25,1.0,0.059309221660398065,0.030516778058627642,0.0449204398080417,0.0154562766464246,0.9586537644560671,4.382107789937457e-125,2500,2500,0.1848,0.0092,75,9.815921449459903e-125,9.438398978878455e-125,124.02510166816037,not strongly differentiated,PET_COOH | 25 µm | Cd 1.0
PET_COOH,25,2.0,0.08186273020085816,0.04212138852735935,0.0620023285007131,0.0213338325743186,0.9586537707790205,4.3821100555210687e-125,2500,2500,0.3108,0.0428,76,9.686769596414995e-125,9.438398978878455e-125,124.02510166816037,not strongly differentiated,PET_COOH | 25 µm | Cd 2.0
PET_COOH,25,5.0,0.11167684677877451,0.05746184913619982,0.0845833570772941,0.02910353888467345,0.9586537752180393,4.382111486416204e-125,2500,2500,0.432,0.1016,77,9.560970515817172e-125,9.438398978878455e-125,124.02510166816037,not strongly differentiated,PET_COOH | 25 µm | Cd 5.0
PET_COOH,25,10.0,0.13423035531923458,0.06906645960493152,0.1016652457699655,0.03498109481256745,0.9586537772659663,4.3821138116221397e-125,2500,2500,0.5044,0.1508,78,9.438398978878455e-125,9.438398978878455e-125,124.02510166816037,not strongly differentiated,PET_COOH | 25 µm | Cd 10.0
PET_COOH,10,0.3,0.020617180097171083,0.010832900124199421,0.0156153254357227,0.00568620345677305,0.9284274342167905,1.8715024129888788e-116,2500,2500,0.0024,0.0,79,3.9799038655966033e-116,3.743010461990662e-116,115.42677895899874,not strongly differentiated,PET_COOH | 10 µm | Cd 0.3
PET_COOH,10,0.6,0.04371129798110711,0.022967259494106378,0.0331066683210713,0.01205554457538605,0.9284274676083744,1.8715026261153153e-116,2500,2500,0.0956,0.0,80,3.930155514842162e-116,3.743010461990662e-116,115.42677895899874,not strongly differentiated,PET_COOH | 10 µm | Cd 0.6
PET_COOH,10,2.0,0.08382498617312244,0.04404422422688309,0.0634885291086857,0.02311887095592495,0.9284274818737764,1.8715039285548704e-116,2500,2500,0.322,0.0456,81,3.881637777743435e-116,3.743010461990662e-116,115.42677895899874,not strongly differentiated,PET_COOH | 10 µm | Cd 2.0
PET_COOH,10,1.0,0.060730868289186425,0.031909864856976125,0.0459971862233371,0.01674952983731195,0.9284274759625581,1.8715040943200917e-116,2500,2500,0.1932,0.0096,82,3.8343010712899445e-116,3.743010461990662e-116,115.42677895899874,not strongly differentiated,PET_COOH | 10 µm | Cd 1.0
