fragment_id,pH,organic_matter_percent,particle_size_um,Cd_total_mg_kg,mean_CMI,background_mean_CMI,median_CMI,background_median_CMI,log2FC_CMI,p_value,P_mobilization_or_higher,P_aging_amplified,n_group,n_background,rank,q_value_raw,q_value,minus_log10_q_raw,minus_log10_q_capped,log2FC_plot,minus_log10_q_plot,volcano_class,label
PE_F,8.0,4.0,500,10.0,0.00033755981340330513,0.008273490981147897,0.0003070295527201,0.00714506229145355,-4.615277034213021,1.0541925777405304e-99,0.0,0.0,300,300,1,8.501008946899637e-96,7.073599654535386e-99,98.15035952364853,8.0,-4.635105096091968,7.985713643495067,reduced mobilization risk,PE_F | pH 8.0 | OM 4.0% | 500 µm | Cd 10.0
PE_F,8.0,6.0,500,0.6,7.779256456307423e-05,0.0019056641526023215,7.042071767093193e-05,0.00162024149300855,-4.614500019231866,1.0541925777405304e-99,0.0,0.0,300,300,30,2.8336696489665457e-97,7.073599654535386e-99,98.15035952364853,8.0,-4.610125578663357,8.0,reduced mobilization risk,PE_F | pH 8.0 | OM 6.0% | 500 µm | Cd 0.6
PE_F,8.0,6.0,1000,2.0,5.9550326275155674e-05,0.0035659863912143493,5.390716628752083e-05,0.0030344172750096004,-5.904024152705998,1.0541925777405304e-99,0.0,0.0,300,300,31,2.742260950612786e-97,7.073599654535386e-99,98.15035952364853,8.0,-5.933262390693807,7.962967270185718,reduced mobilization risk,PE_F | pH 8.0 | OM 6.0% | 1000 µm | Cd 2.0
PE_F,8.0,4.0,500,5.0,0.00028084270111970435,0.006883371368792215,0.0002554421630944,0.00594454231198115,-4.615276206304467,1.0541925777405304e-99,0.0,0.0,300,300,32,2.6565652959061364e-97,7.073599654535386e-99,98.15035952364853,8.0,-4.581489751691863,8.0,reduced mobilization risk,PE_F | pH 8.0 | OM 4.0% | 500 µm | Cd 5.0
PE_F,6.5,2.0,100,0.6,0.003090453320155491,0.033447134781504885,0.0028431454244867,0.0298180172749959,-3.4359918262161613,1.0541925777405304e-99,0.0,0.0,300,300,33,2.576063317242314e-97,7.073599654535386e-99,98.15035952364853,8.0,-3.415143751298205,7.896607807431818,reduced mobilization risk,PE_F | pH 6.5 | OM 2.0% | 100 µm | Cd 0.6
PE_F,6.5,2.0,500,0.3,0.0006086116074032977,0.014935928544064992,0.0005599085725039,0.01334653989985,-4.6171189973966875,1.0541925777405304e-99,0.0,0.0,300,300,34,2.5002967490881284e-97,7.073599654535386e-99,98.15035952364853,8.0,-4.588676077780311,7.962049279132745,reduced mobilization risk,PE_F | pH 6.5 | OM 2.0% | 500 µm | Cd 0.3
PE_F,6.5,2.0,500,1.0,0.0017927529950399522,0.04399592499610422,0.0016492912032809,0.03931415222421125,-4.617120499326145,1.0541925777405304e-99,0.0,0.0,300,300,35,2.428859699114182e-97,7.073599654535386e-99,98.15035952364853,8.0,-4.639258828190032,8.0,reduced mobilization risk,PE_F | pH 6.5 | OM 2.0% | 500 µm | Cd 1.0
PE_F,6.5,2.0,1000,0.3,0.00024294418005719575,0.014574167250379738,0.0002235030147294,0.0130760991416941,-5.9066389305604865,1.0541925777405304e-99,0.0,0.0,300,300,36,2.361391374138788e-97,7.073599654535386e-99,98.15035952364853,8.0,-5.889525054923368,7.956356656157189,reduced mobilization risk,PE_F | pH 6.5 | OM 2.0% | 1000 µm | Cd 0.3
PE_F,8.0,2.0,500,5.0,0.00035817116572670803,0.008781307596773978,0.000326655683362,0.00764686512459865,-4.615710815125614,1.0541925777405304e-99,0.0,0.0,300,300,37,2.2975699856485503e-97,7.073599654535386e-99,98.15035952364853,8.0,-4.628686148371352,7.948402733414814,reduced mobilization risk,PE_F | pH 8.0 | OM 2.0% | 500 µm | Cd 5.0
PE_F,8.0,2.0,500,10.0,0.0004305050171754959,0.010554721707154217,0.0003926248789204,0.0091911748259374,-4.61571146429908,1.0541925777405304e-99,0.0,0.0,300,300,38,2.2371076176051675e-97,7.073599654535386e-99,98.15035952364853,8.0,-4.627146097077879,7.9423532023639964,reduced mobilization risk,PE_F | pH 8.0 | OM 2.0% | 500 µm | Cd 10.0
PE_F,8.0,2.0,1000,0.3,2.577720022161704e-05,0.001544865419312141,2.35090642667088e-05,0.0013473616014392001,-5.905186745752719,1.0541925777405304e-99,0.0,0.0,300,300,39,2.1797458838204197e-97,7.073599654535386e-99,98.15035952364853,8.0,-5.892523318767751,7.978677384731037,reduced mobilization risk,PE_F | pH 8.0 | OM 2.0% | 1000 µm | Cd 0.3
