fragment_condition,particle_size_class,MRI_class,Msoil_class,Cd_loading_class,CMI_regime,count,CMI_mean,CMI_max,fraction
PET_F | fresh,medium MP,high MRI,low soil mobilization potential,high Cd loading,immobilization-dominant regime,22061,0.019075553348627067,0.0299967051297969,0.006839347718253968
PET_F | fresh,medium MP,high MRI,low soil mobilization potential,high Cd loading,mobilization regime,1949,0.10690093751714712,0.115318094584049,0.0006042286706349206
PET_F | fresh,medium MP,high MRI,low soil mobilization potential,low Cd loading,conditional retention,2797,0.033069271006059484,0.0366735671747017,0.000867125496031746
PET_F | fresh,medium MP,high MRI,low soil mobilization potential,low Cd loading,immobilization-dominant regime,50583,0.01222113289040195,0.0299996955455673,0.01568173363095238
PET_F | fresh,medium MP,high MRI,low soil mobilization potential,moderate Cd loading,conditional retention,19168,0.04521481416112831,0.0703287571709072,0.005942460317460318
PET_F | fresh,medium MP,high MRI,low soil mobilization potential,moderate Cd loading,immobilization-dominant regime,34212,0.017707864643516383,0.0299997713956451,0.01060639880952381
PET_F | fresh,medium MP,high MRI,low-to-moderate soil mobilization potential,high Cd loading,conditional retention,860,0.09728374976493505,0.0999496320451946,0.00026661706349206347
PET_F | fresh,medium MP,high MRI,low-to-moderate soil mobilization potential,high Cd loading,mobilization regime,13900,0.14007777197635063,0.2017076429820936,0.004309275793650794
PET_F | fresh,medium MP,high MRI,low-to-moderate soil mobilization potential,low Cd loading,conditional retention,7431,0.04767789421587175,0.0641472513159073,0.0023037574404761903
PET_F | fresh,medium MP,high MRI,low-to-moderate soil mobilization potential,low Cd loading,immobilization-dominant regime,7329,0.022502327543230314,0.0299887635915681,0.0022721354166666667
PET_F | fresh,medium MP,high MRI,low-to-moderate soil mobilization potential,moderate Cd loading,conditional retention,12567,0.0734382123485944,0.0999963861479885,0.003896019345238095
PET_F | fresh,medium MP,high MRI,low-to-moderate soil mobilization potential,moderate Cd loading,mobilization regime,2193,0.11009459163762006,0.1230149344209328,0.0006798735119047619
PET_F | fresh,medium MP,high MRI,moderate soil mobilization potential,high Cd loading,aging-amplified mobilization,1484,0.27455442572211997,0.317133041857978,0.0004600694444444444
PET_F | fresh,medium MP,high MRI,moderate soil mobilization potential,high Cd loading,mobilization regime,5196,0.2085409856205473,0.2499915478642292,0.0016108630952380953
PET_F | fresh,medium MP,high MRI,moderate soil mobilization potential,low Cd loading,conditional retention,6546,0.05733090342786901,0.0999113916971951,0.002029389880952381
PET_F | fresh,medium MP,high MRI,moderate soil mobilization potential,low Cd loading,immobilization-dominant regime,112,0.029623219245355804,0.0299938972775365,3.472222222222222e-05
PET_F | fresh,medium MP,high MRI,moderate soil mobilization potential,low Cd loading,mobilization regime,22,0.10040163678797621,0.1008549435008163,6.820436507936508e-06
PET_F | fresh,medium MP,high MRI,moderate soil mobilization potential,moderate Cd loading,conditional retention,1229,0.09361451546918911,0.0999589577268044,0.0003810143849206349
PET_F | fresh,medium MP,high MRI,moderate soil mobilization potential,moderate Cd loading,mobilization regime,5451,0.13588296770131214,0.1934091329912242,0.0016899181547619048
PET_F | fresh,medium MP,high MRI,very high soil mobilization potential,high Cd loading,aging-amplified mobilization,260,0.42477892308336035,0.5766666666666667,8.060515873015873e-05
PET_F | fresh,medium MP,high MRI,very high soil mobilization potential,low Cd loading,conditional retention,130,0.0695606618567552,0.0865,4.0302579365079364e-05
PET_F | fresh,medium MP,high MRI,very high soil mobilization potential,low Cd loading,mobilization regime,130,0.14747830711343785,0.1833920670792685,4.0302579365079364e-05
PET_F | fresh,medium MP,high MRI,very high soil mobilization potential,moderate Cd loading,aging-amplified mobilization,131,0.2825686885953909,0.3516902539436021,4.061259920634921e-05
